iter	MultiClass
511	0.06105255415
512	0.0609369669
513	0.06081382435
514	0.06065271683
515	0.06050750219
516	0.06040298385
517	0.06025323379
518	0.06012249342
519	0.05995814155
520	0.0598609094
521	0.05966899102
522	0.05954055113
523	0.05944157518
524	0.05925125989
525	0.0591252393
526	0.05898498677
527	0.05879855926
528	0.05863248568
529	0.05854317646
530	0.05839598249
531	0.05820420557
532	0.05805561332
533	0.05789734709
534	0.0577851578
535	0.0576676798
536	0.05748625735
537	0.05737538678
538	0.0572505444
539	0.05714007936
540	0.05702867312
541	0.05688564109
542	0.0567773792
543	0.05664125516
544	0.05652406036
545	0.05640645722
546	0.05626384268
547	0.05612622358
548	0.05595614004
549	0.05579500994
550	0.05566130811
551	0.05550696213
552	0.05542040733
553	0.055295999
554	0.05519732778
555	0.05504680374
556	0.05491766441
557	0.05481855081
558	0.0547033192
559	0.05453987047
560	0.05438384557
561	0.0542937903
562	0.05421796668
563	0.05409488681
564	0.0540332056
565	0.05393682321
566	0.05378704721
567	0.05367659294
568	0.05354517174
569	0.05339017949
570	0.05324011011
571	0.0531636874
572	0.05302717359
573	0.05288341783
574	0.05274980925
575	0.05264462947
576	0.05255417614
577	0.05246742317
578	0.0523434041
579	0.05220807835
580	0.05210183603
581	0.05200748789
582	0.05190807216
583	0.05181268742
584	0.05170990135
585	0.05163039171
586	0.05150633978
587	0.05143015246
588	0.05131490716
589	0.05119497253
590	0.05108589536
591	0.0509657138
592	0.05086596846
593	0.05070739434
594	0.05059073962
595	0.05045147987
596	0.05030688624
597	0.05019367506
598	0.05013776888
599	0.05004066672
600	0.04990886544
601	0.04978260392
602	0.04966939444
603	0.04958289389
604	0.0494871442
605	0.04936765306
606	0.04925440753
607	0.04913397362
608	0.04903486532
609	0.04896292807
610	0.04886587859
611	0.04875850359
612	0.04868858436
613	0.04858978129
614	0.0485182594
615	0.04844525461
616	0.04837064264
617	0.04826272394
618	0.04821136729
619	0.04807041091
620	0.04796493443
621	0.04783499919
622	0.04776438544
623	0.04763158192
624	0.04750454714
625	0.04743718681
626	0.04733821239
627	0.04721101446
628	0.04713272681
629	0.04703195003
630	0.04694148511
631	0.04682994724
632	0.04672888571
633	0.0466616808
634	0.04656222421
635	0.04646057089
636	0.04634527012
637	0.04625628147
638	0.04619173457
639	0.04612375518
640	0.04599676572
641	0.04589444707
642	0.0458006282
643	0.04570407891
644	0.04556775775
645	0.04547864521
646	0.04538140238
647	0.04526329336
648	0.04516960502
649	0.04508225915
650	0.04501881381
651	0.04491478214
652	0.04481836068
653	0.04469907789
654	0.0446039518
655	0.04454016443
656	0.04443463045
657	0.04434362792
658	0.04425251167
659	0.04419700444
660	0.04409319598
661	0.04402787722
662	0.04394405413
663	0.04386517419
664	0.04376654734
665	0.04368384569
666	0.04358716145
667	0.0435374096
668	0.04341842183
669	0.04332566789
670	0.04327024061
671	0.04318901638
672	0.0431211036
673	0.04304370431
674	0.04297344309
675	0.04290660445
676	0.04284706648
677	0.04277808875
678	0.04269938467
679	0.0425984694
680	0.0425188408
681	0.04239656721
682	0.0423008843
683	0.04219999549
684	0.04212654261
685	0.04203389968
686	0.0419436335
687	0.04186175608
688	0.04177700345
689	0.04169735071
690	0.04162883349
691	0.04155493891
692	0.04148802295
693	0.04136814472
694	0.04128782193
695	0.04120340551
696	0.04110585396
697	0.0410340193
698	0.04096667063
699	0.04087611009
700	0.04082121353
701	0.04074929935
702	0.04066308729
703	0.04056437794
704	0.04049660515
705	0.04041085189
706	0.04033568871
707	0.04024994736
708	0.04017589393
709	0.04007899088
710	0.04000835699
711	0.03990847755
712	0.03984272347
713	0.039793616
714	0.0397003731
715	0.03960636825
716	0.03950995723
717	0.0394474416
718	0.03938770361
719	0.03931235607
720	0.03921968006
721	0.03913515685
722	0.03908511008
723	0.03901908992
724	0.0389800018
725	0.03891088917
726	0.0388472504
727	0.03878809094
728	0.03869465636
729	0.03861476125
730	0.03853510185
731	0.03847234086
732	0.03841512248
733	0.03834303229
734	0.03828844747
735	0.03824765968
736	0.03815878157
737	0.03806215332
738	0.03797448242
739	0.03791057308
740	0.03784871702
741	0.03780598035
742	0.03775107895
743	0.03766041386
744	0.03760869663
745	0.03754300442
746	0.03747259857
747	0.03737949511
748	0.03729489477
749	0.03722230983
750	0.03714620374
751	0.03709149838
752	0.03702038319
753	0.03695626512
754	0.03690600813
755	0.03685781414
756	0.03680366728
757	0.03676019604
758	0.0366965428
759	0.03661733774
760	0.03655333563
761	0.0364885442
762	0.03645256867
763	0.03640044544
764	0.03634331833
765	0.03628522565
766	0.03623291554
767	0.03614975077
768	0.03610754436
769	0.03604540203
770	0.03598337973
771	0.03594647276
772	0.03588695292
773	0.03582646482
774	0.03575868073
775	0.03571041886
776	0.03565253185
777	0.03559509149
778	0.03551373699
779	0.0354523729
780	0.03541028712
781	0.03535816496
782	0.03529295112
783	0.03522271671
784	0.03517220774
785	0.03511995051
786	0.03504664702
787	0.034981524
788	0.03490633579
789	0.03484897942
790	0.03480022207
791	0.03476207054
792	0.03470857373
793	0.03464518353
794	0.03460624033
795	0.03455563445
796	0.03450104906
797	0.0344228245
798	0.03436670856
799	0.03430286217
800	0.03423762465
801	0.03417264357
802	0.03411938552
803	0.0340502124
804	0.03399754869
805	0.03393754687
806	0.03388058609
807	0.03383661049
808	0.03375396865
809	0.03369640756
810	0.03366554887
811	0.03361229057
812	0.0335391977
813	0.03347670419
814	0.03342851344
815	0.03337012357
816	0.03329438896
817	0.03322350677
818	0.03317645448
819	0.03312023246
820	0.03306923591
821	0.03301621238
822	0.03294512994
823	0.03290123338
824	0.03285507667
825	0.03280386474
826	0.03275695097
827	0.03271041567
828	0.03265656958
829	0.03257991106
830	0.03253426958
831	0.03249437561
832	0.03245448527
833	0.03240142318
834	0.03236034743
835	0.03229515111
836	0.03221969799
837	0.03214616678
838	0.03207615846
839	0.0320212473
840	0.03196710309
841	0.03192075371
842	0.03186303794
843	0.03178168756
844	0.03172599706
845	0.03168472705
846	0.03162584201
847	0.0315775816
848	0.03152108445
849	0.03148572355
850	0.03142573479
851	0.03138152061
852	0.0313296995
853	0.03127061789
854	0.03122099329
855	0.03116101407
856	0.0311055717
857	0.03106707296
858	0.03103773843
859	0.03097515972
860	0.03091872539
861	0.03086662661
862	0.03081086501
863	0.03073922321
864	0.03069351024
865	0.03063101943
866	0.03059055873
867	0.03056610148
868	0.03051023331
869	0.03044853418
870	0.03039872012
871	0.03035512491
872	0.03030051203
873	0.03024116495
874	0.03018839221
875	0.03014019141
876	0.03008529465
877	0.03003149789
878	0.02999308312
879	0.02995758945
880	0.02991431913
881	0.02987025111
882	0.029839929
883	0.02979760871
884	0.02974447721
885	0.02967960346
886	0.02963694729
887	0.02961344066
888	0.02957390027
889	0.02953091623
890	0.02949032678
891	0.02944361625
892	0.02938086716
893	0.02931790865
894	0.02927483405
895	0.0292432665
896	0.02917557073
897	0.0291251975
898	0.02907696426
899	0.02904298021
900	0.0290007995
901	0.02896782794
902	0.02894635832
903	0.0289180673
904	0.02887274129
905	0.0288236585
906	0.02878102972
907	0.02874452607
908	0.02870186214
909	0.02867270539
910	0.02862401631
911	0.02856704236
912	0.02851379553
913	0.02847864394
914	0.02842507088
915	0.02836207394
916	0.02832307059
917	0.02827992499
918	0.02822777708
919	0.02817939814
920	0.02814154727
921	0.02807987405
922	0.02803250741
923	0.02797975585
924	0.02794375872
925	0.02789664493
926	0.02786005016
927	0.02780401651
928	0.02777743844
929	0.02773610703
930	0.02769532653
931	0.02765552505
932	0.02760382046
933	0.02754871964
934	0.02750537433
935	0.02746096727
936	0.02741436846
937	0.0273661347
938	0.02731474632
939	0.02727686311
940	0.02722422622
941	0.02717022792
942	0.0271347679
943	0.02709707013
944	0.0270416373
945	0.02700093826
946	0.02695736519
947	0.02690883411
948	0.02687120533
949	0.02682987374
950	0.02678994198
951	0.02675726177
952	0.02673002681
953	0.02668172528
954	0.02663509033
955	0.02660029199
956	0.02656101775
957	0.02652030707
958	0.0264909123
959	0.02644787588
960	0.02640819382
961	0.02637042194
962	0.02632796662
963	0.02627880382
964	0.02623198825
965	0.02620267595
966	0.02617524864
967	0.02613138531
968	0.0261054894
969	0.02606327332
970	0.02602302092
971	0.02597074631
972	0.02592254702
973	0.02586848891
974	0.02582785633
975	0.02579411828
976	0.02574752209
977	0.02569598823
978	0.02566374239
979	0.02562965829
980	0.02558418914
981	0.0255367229
982	0.02550954916
983	0.02547087639
984	0.02542959145
985	0.02541359927
986	0.02538635366
987	0.02534940653
988	0.02530251451
989	0.02526613818
990	0.02523330929
991	0.02519384018
992	0.02515042925
993	0.02512221502
994	0.02508941674
995	0.0250546397
996	0.02502847039
997	0.02498886714
998	0.02494263925
999	0.02491539644
